企业 id,开始经�?开始时�?开始纬�?用户id,结束经度,结束纬度,结束时间,,,
-,113.945946,"	2021-08-31 01:15:37.0",22.586138,ce3b40f2f5a2c582caf7b0**********,113.947953,22.581645,"	2021-08-31 01:20:18.0"
-,113.929604,"	2021-08-31 01:15:36.0",22.487377,653c79226bdc12de4bcc3f**********,113.935837,22.488176,"	2021-08-31 01:22:06.0"
-,113.8643205,"	2021-08-31 01:15:29.0",22.5671655,a6c9ce9d16296037ebe88b**********,113.8594532,22.56579742,"	2021-08-31 01:19:53.0"
-,113.8049525,"	2021-08-31 01:15:22.0",22.7047719,47089e37f17a0409739507**********,113.7962766,22.70470944,"	2021-08-31 01:19:59.0"
-,113.9057647,"	2021-08-31 01:15:10.0",22.7744314,8206f67ce69706ded113f0**********,113.9094574,22.77229046,"	2021-08-31 01:21:01.0"
-,113.7870256,"	2021-08-31 01:15:09.0",22.7459367,93338a8994105226d0c6da**********,113.7897916,22.73746107,"	2021-08-31 01:22:19.0"
-,113.8330368,"	2021-08-31 01:15:00.0",22.7285984,ba00f352d279dab3a6e128**********,113.8371447,22.72826538,"	2021-08-31 01:17:09.0"
-,113.945847,"	2021-08-31 01:15:00.0",22.586208,267660753d58100488e418**********,113.948082,22.581861,"	2021-08-31 01:19:54.0"
-,113.823033,"	2021-08-31 01:14:59.0",22.6947266,97e79c6c4712a7b559f2e6**********,113.8144212,22.68797164,"	2021-08-31 01:21:51.0"
-,113.8596685,"	2021-08-31 01:14:48.0",22.5676828,ae5117c87d60d2ad36b328**********,113.8641419,22.56836713,"	2021-08-31 01:20:09.0"
-,113.8064722,"	2021-08-31 01:14:40.0",22.692529,c370b3d46085970fba4815**********,113.8074962,22.69741388,"	2021-08-31 01:17:04.0"
-,113.9072949,"	2021-08-31 01:14:35.0",22.7950795,5ab8fd9096423cbdb22093**********,113.9062719,22.79654096,"	2021-08-31 01:19:13.0"
-,113.8854199,"	2021-08-31 01:14:28.0",22.8007723,0752edb260f0a58dd66985**********,113.8742891,22.79669401,"	2021-08-31 01:21:08.0"
-,113.7946121,"	2021-08-31 01:14:18.0",22.6966802,7f3aa75fdf6dd43acc9782**********,113.7955225,22.69954975,"	2021-08-31 01:19:40.0"
-,113.8389402,"	2021-08-31 01:14:16.0",22.8021056,581dbac94de2a0c4004428**********,113.8442027,22.79803778,"	2021-08-31 01:21:25.0"
-,113.8122683,"	2021-08-31 01:14:16.0",22.7803044,ffc2dfc83bc4a35d95e14d**********,113.8125018,22.77984279,"	2021-08-31 01:17:20.0"
-,113.965042,"	2021-08-31 01:14:11.0",22.583526,3d18d53cca696456901003**********,113.965091,22.586814,"	2021-08-31 01:18:26.0"
-,113.8644287,"	2021-08-31 01:14:08.0",22.7971034,da67e96dfe2393e3f18dca**********,113.8611958,22.79834214,"	2021-08-31 01:17:47.0"
-,113.8090069,"	2021-08-31 01:14:08.0",22.6918248,999c3640515823cffba210**********,113.8102742,22.69683689,"	2021-08-31 01:17:23.0"
-,114.0646175,"	2021-08-31 01:14:06.0",22.5231944,b13515597d82d4727c9a50**********,113.925977,22.582112,"	2021-08-31 01:21:17.0"
-,113.8356171,"	2021-08-31 01:14:00.0",22.7187535,4d8492612ba8a2ad8c76df**********,113.8277776,22.71742724,"	2021-08-31 01:18:42.0"
-,113.8932313,"	2021-08-31 01:13:59.0",22.5596894,21d2263cb1f74eadc0a522**********,113.8842202,22.57046918,"	2021-08-31 01:21:26.0"
-,113.8251164,"	2021-08-31 01:13:58.0",22.7185303,0a7f47996a4bb2e0f53eee**********,113.8258298,22.71937504,"	2021-08-31 01:20:01.0"
-,114.1066303,"	2021-08-31 01:13:55.0",22.5687782,3630b1d6c74e74db43361b**********,114.1126606,22.56724068,"	2021-08-31 01:21:22.0"
-,113.7921674,"	2021-08-31 01:13:52.0",22.717829,de9a11dea555a08a773477**********,113.7876277,22.71852961,"	2021-08-31 01:19:28.0"
-,114.1064491,"	2021-08-31 01:13:39.0",22.5433046,b4f28b170059ded3dc591f**********,113.925977,22.582112,"	2021-08-31 01:17:57.0"
-,113.8676609,"	2021-08-31 01:13:31.0",22.5823033,2ac3d2c25bd5eddb0ec4ac**********,113.8739783,22.57836621,"	2021-08-31 01:19:14.0"
-,113.8901264,"	2021-08-31 01:13:26.0",22.5684842,f0cdcc0f81bcfc78e76e49**********,113.8947784,22.56025629,"	2021-08-31 01:21:29.0"
-,113.9231616,"	2021-08-31 01:13:20.0",22.7741463,e6704457199ad8d1e64eda**********,113.9200591,22.77812313,"	2021-08-31 01:15:53.0"
-,114.0883238,"	2021-08-31 01:13:10.0",22.5347404,66a3143dbe083fca1d8b80**********,113.925977,22.582112,"	2021-08-31 01:16:31.0"
-,113.8057766,"	2021-08-31 01:13:08.0",22.7316683,11db0301ab148d7a7b6fcc**********,113.8014932,22.73584809,"	2021-08-31 01:18:41.0"
-,114.10859,"	2021-08-31 01:13:05.0",22.5672192,be958444444ecc07e5ff68**********,113.920651,22.584787,"	2021-08-31 01:19:09.0"
-,113.7930892,"	2021-08-31 01:13:04.0",22.6847119,b95a2e745933d23a9cee3b**********,113.7931157,22.68524042,"	2021-08-31 01:19:04.0"
-,113.8368905,"	2021-08-31 01:12:57.0",22.7285512,08e14dcae4f6f0fe963748**********,113.8328683,22.72357816,"	2021-08-31 01:19:13.0"
-,113.9180797,"	2021-08-31 01:12:56.0",22.7561632,b46f370ce9600d8d31e4b1**********,113.9081216,22.75003016,"	2021-08-31 01:22:59.0"
-,114.118613,"	2021-08-31 01:12:33.0",22.5474821,b9a12a37961d381bb1f18b**********,114.1220004,22.54851854,"	2021-08-31 01:15:01.0"
-,113.8425448,"	2021-08-31 01:12:31.0",22.5951845,d523ef2af132cb742890a5**********,113.8392055,22.59058999,"	2021-08-31 01:17:32.0"
-,113.8510794,"	2021-08-31 01:12:30.0",22.7682053,89038fbf7fcff824db2e2d**********,113.8505843,22.75672018,"	2021-08-31 01:21:48.0"
-,114.0841222,"	2021-08-31 01:12:30.0",22.5320953,12b4b128f6e0e83783b373**********,113.925977,22.582112,"	2021-08-31 01:21:32.0"
